{misunderstood},{misunderstanding},{meaning},{meant},{mean},{understanding},{understand},{understood},{reasoning},{bad},{talk},{raised},{already},{ah},{restate},{point},{clarified},{seem},{sure},{should've},{clearer},{clear},{clarifies},{replied},{clarify},{empathize},{idea},{sense},{above},{previously},{expect},{expecting},{hell},{real},{joking},{problem},{took},{wrong},{sounds},{seen},{offend},{can},{thanks},{apologise},{sorry},{hard},{told},{what},{initial},{just},{that},{are},{it},{that's},{be},{you've},{I'm},{I've},{haven't},{we've},{my},{ok},{me},{you're},{you},{wasn't},{isn't},{don't},{doesn't},{hm},{didn't},[adverb],{adverb}
misunderstood,misunderstanding,meaning,meant,mean,understanding,understand,understood,reasoning,bad,talk,raised,already,ah,restate,point,clarified,seem,sure,should've,clearer,clear,clarifies,replied,clarify,empathize,idea,sense,above,previously,expect,expecting,hell,real,joking,problem,took,wrong,sounds,seen,offend,can,thanks,apologize,sorry,hard,told,what,initial,just,that,are,it,that's,be,you've,I'm,I've,haven't,we've,my,ok,me,you're,you,wasn't,isn't,don't,doesn't,hm,didn't,completely,completely
misinterpreted,miscommunication,intend,said,intend,comprehending,get,got,thought,fault,participate,said,previously,ahh,reiterate,argument,explained,appear,certain,should have,more clear,obvious,explains,responded,explain,empathise,clue,any sense,before,recently,want,wanting,fuck,being serious,kidding,problems,interpreted,the wrong way,comes across,interpreted,upset,may,thank you,apologise,apologise,difficult,said to,why,original,only,this,were,me,that is,have been,you have,I am,I have,have not,we have,the,okay,my,you are,your,was not,is not,do not,does not,hmm,did not,absolutely,absolutely
misrepresented,missing,saying,clarified,say,reasoning,comprehend,comprehended,thoughts,mistake,phrased,discussed,,ahhh,repeat,meaning,cleared,look,definite,could've,,explicit,clears,said,elaborate,sympathize,notion,complete sense,previously,just,anticipate,anticipating,heck,for real,messing,issue,understood,,implies,misinterpreted,annoy,could,,apologies,apologize,painful,informed,who,,,,,that,this is,,,I was,,did,,,okie,,,ya,,,,didn't,hmmm,don't,actually,actually
mischaracterized,misrepresenting,speaking,explained,allude,interpretation,grasp,grasped,,error,implied,talked about,,,,intention,answered,sound,,could have,,,answers,provided,discuss,sympathise,,,earlier,,,,,serious,being,issues,,,,,bait,,,,apologies,awful,let,where,,,,,this,,,,,,,,,,,,,,,,did not,um,do not,also,basically
mischaracterised,mistaking,trying,been clear,try,grasping,realise,realised,,,suggested,,,,,intended,,,,,,,,gave,tell,,,,,,,,,,trying,difficulty,,,,,piss,,,,apology,terrible,,when,,,,,myself,,,,,,,,,,,,,,,,,umm,haven't,apparently,clearly
misread,mischaracterizing,alluding,mean,claim,realising,realize,realized,,,referred,,,,,actual,,,,,,,,,inform,,,,,,,,,,,difficulties,,,,,hurt,,,,,dreadful,,which,,,,,,,,,,,,,,,,,,,,,,ummm,have not,basically,definitely
misconstrued,mischaracterising,finding,thought,,realizing,know,knew,,,,,,,,view,,,,,,,,,write,,,,,,,,,,,grievance,,,,,,,,,,scary,,,,,,,,,,,,,,,,,,,,,,,,,,clearly,especially
mistook,misinformed,writing,tried,,seeing,take,taken,,,,,,,,perspective,,,,,,,,,answer,,,,,,,,,,,grievances,,,,,,,,,,upsetting,,,,,,,,,,,,,,,,,,,,,,,,,,definitely,essentially
,mistaken,fighting,intended,,,hear,hear,,,,,,,,position,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especially,extremely
,wrong,disagreeing,claimed,,,listen,listened,,,,,,,,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,essentially,generally
,incorrect,agreeing,,,,see,saw,,,,,,,,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,even,hardly
,incorrectly,talking,,,,imagine,imagined,,,,,,,,message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely,mostly
,,referring,,,,,assumed,,,,,,,,messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generally,particularly
,,intending,,,,,,,,,,,,,thought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hardly,presently
,,intended,,,,,,,,,,,,,thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,primarily
,,reasoning,,,,,,,,,,,,,edits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mostly,principally
,,claiming,,,,,,,,,,,,,edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particularly,probably
,,,,,,,,,,,,,,,reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,presently,relatively
,,,,,,,,,,,,,,,reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primarily,somewhat
,,,,,,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,principally,totally
,,,,,,,,,,,,,,,posts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,probably,truly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prolly,ultimately
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relatively,soo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somewhat,specifically
